GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
knote,com.learnk8s.knote.Controller,KnoteController,116,31,24,0,24,9,15,3,3,3
knote,com.learnk8s.knote.UploadConfig,KnoteProperties,0,6,0,0,0,2,0,2,0,2
knote,com.learnk8s.knote.UploadConfig,KnoteConfig,0,32,0,0,0,8,0,2,0,2
knote,com.learnk8s.knote.Note,Note,10,19,0,0,2,4,3,4,3,4
knote,com.learnk8s.knote,KnoteApplication,5,3,0,0,2,1,1,1,1,1
